year,indicator,value
1993,Registered vehicles,53168
1994,Registered vehicles,51217
1995,Registered vehicles,44471
1996,Registered vehicles,35621
1997,Registered vehicles,35303
1998,Registered vehicles,32589
1999,Registered vehicles,24242
2000,Registered vehicles,22115
2001,Registered vehicles,25725
2002,Registered vehicles,28859
2003,Registered vehicles,41922
2004,Registered vehicles,47538
2005,Registered vehicles,60626
2006,Registered vehicles,74212
2007,Registered vehicles,72373
2008,Registered vehicles,47402
2009,Registered vehicles,21037
2010,Registered vehicles,28845
2011,Registered vehicles,44412
2012,Registered vehicles,49634
2013,Registered vehicles,49484
2014,Registered vehicles,47253
2015,Registered vehicles,46016
2016,Registered vehicles,47204
2017,Registered vehicles,49396
2018,Registered vehicles,50442
2019,Registered vehicles,52981
2020,Registered vehicles,39252
2021,Registered vehicles,49257
2022,Registered vehicles,49734
2023,Registered vehicles,47298
2024,Registered vehicles,50424
2025,Registered vehicles,24665
