date,indicator,value
2020-01-01,Registered vehicles,3400
2020-02-01,Registered vehicles,1786
2020-03-01,Registered vehicles,3352
2020-04-01,Registered vehicles,3455
2020-05-01,Registered vehicles,3496
2020-06-01,Registered vehicles,3208
2020-07-01,Registered vehicles,2294
2020-08-01,Registered vehicles,1731
2020-09-01,Registered vehicles,1107
2020-10-01,Registered vehicles,2057
2020-11-01,Registered vehicles,1734
2020-12-01,Registered vehicles,1544
2021-01-01,Registered vehicles,3110
2021-02-01,Registered vehicles,4349
2021-03-01,Registered vehicles,4604
2021-04-01,Registered vehicles,3809
2021-05-01,Registered vehicles,4080
2021-06-01,Registered vehicles,3535
2021-07-01,Registered vehicles,2009
2021-08-01,Registered vehicles,2170
2021-09-01,Registered vehicles,2215
2021-10-01,Registered vehicles,2316
2021-11-01,Registered vehicles,1784
2021-12-01,Registered vehicles,1450
2022-01-01,Registered vehicles,3425
2022-02-01,Registered vehicles,4101
2022-03-01,Registered vehicles,4463
2022-04-01,Registered vehicles,4685
2022-05-01,Registered vehicles,4133
2022-06-01,Registered vehicles,3035
2022-07-01,Registered vehicles,1746
2022-08-01,Registered vehicles,2075
2022-09-01,Registered vehicles,2188
2022-10-01,Registered vehicles,1577
2022-11-01,Registered vehicles,1814
2022-12-01,Registered vehicles,1443
2023-01-01,Registered vehicles,3368
2023-02-01,Registered vehicles,3891
2023-03-01,Registered vehicles,4319
2023-04-01,Registered vehicles,4083
2023-05-01,Registered vehicles,3862
2023-06-01,Registered vehicles,3394
2023-07-01,Registered vehicles,1788
2023-08-01,Registered vehicles,2316
2023-09-01,Registered vehicles,2301
2023-10-01,Registered vehicles,1833
2023-11-01,Registered vehicles,1755
2023-12-01,Registered vehicles,1830
2024-01-01,Registered vehicles,2925
2024-02-01,Registered vehicles,3556
2024-03-01,Registered vehicles,3553
2024-04-01,Registered vehicles,3723
2024-05-01,Registered vehicles,5200
2024-06-01,Registered vehicles,7046
2024-07-01,Registered vehicles,1589
2024-08-01,Registered vehicles,1707
2024-09-01,Registered vehicles,1911
2024-10-01,Registered vehicles,1883
2024-11-01,Registered vehicles,2155
2024-12-01,Registered vehicles,3349
2025-01-01,Registered vehicles,1182
2025-02-01,Registered vehicles,1939
2025-03-01,Registered vehicles,2511
2025-04-01,Registered vehicles,2116
2025-05-01,Registered vehicles,2500
2025-06-01,Registered vehicles,2152
2025-07-01,Registered vehicles,534
2025-08-01,Registered vehicles,968
2025-09-01,Registered vehicles,1414
2025-10-01,Registered vehicles,1119
2025-11-01,Registered vehicles,1184
2025-12-01,Registered vehicles,1189
