date,indicator,value
2018-01-01,"Volume index (deflated turnover), 2021 = 100",-7.4
2018-02-01,"Volume index (deflated turnover), 2021 = 100",12.6
2018-03-01,"Volume index (deflated turnover), 2021 = 100",0.9
2018-04-01,"Volume index (deflated turnover), 2021 = 100",30.1
2018-05-01,"Volume index (deflated turnover), 2021 = 100",45.2
2018-06-01,"Volume index (deflated turnover), 2021 = 100",49.2
2018-07-01,"Volume index (deflated turnover), 2021 = 100",44.6
2018-08-01,"Volume index (deflated turnover), 2021 = 100",30.3
2018-09-01,"Volume index (deflated turnover), 2021 = 100",33.0
2018-10-01,"Volume index (deflated turnover), 2021 = 100",48.8
2018-11-01,"Volume index (deflated turnover), 2021 = 100",27.5
2018-12-01,"Volume index (deflated turnover), 2021 = 100",29.1
2019-01-01,"Volume index (deflated turnover), 2021 = 100",25.3
2019-02-01,"Volume index (deflated turnover), 2021 = 100",12.6
2019-03-01,"Volume index (deflated turnover), 2021 = 100",26.6
2019-04-01,"Volume index (deflated turnover), 2021 = 100",11.7
2019-05-01,"Volume index (deflated turnover), 2021 = 100",34.4
2019-06-01,"Volume index (deflated turnover), 2021 = 100",-4.7
2019-07-01,"Volume index (deflated turnover), 2021 = 100",12.2
2019-08-01,"Volume index (deflated turnover), 2021 = 100",25.0
2019-09-01,"Volume index (deflated turnover), 2021 = 100",0.1
2019-10-01,"Volume index (deflated turnover), 2021 = 100",6.0
2019-11-01,"Volume index (deflated turnover), 2021 = 100",5.0
2019-12-01,"Volume index (deflated turnover), 2021 = 100",21.4
2020-01-01,"Volume index (deflated turnover), 2021 = 100",11.8
2020-02-01,"Volume index (deflated turnover), 2021 = 100",4.6
2020-03-01,"Volume index (deflated turnover), 2021 = 100",8.3
2020-04-01,"Volume index (deflated turnover), 2021 = 100",-0.5
2020-05-01,"Volume index (deflated turnover), 2021 = 100",13.0
2020-06-01,"Volume index (deflated turnover), 2021 = 100",-3.9
2020-07-01,"Volume index (deflated turnover), 2021 = 100",12.9
2020-08-01,"Volume index (deflated turnover), 2021 = 100",11.1
2020-09-01,"Volume index (deflated turnover), 2021 = 100",19.3
2020-10-01,"Volume index (deflated turnover), 2021 = 100",17.4
2020-11-01,"Volume index (deflated turnover), 2021 = 100",6.7
2020-12-01,"Volume index (deflated turnover), 2021 = 100",26.1
2021-01-01,"Volume index (deflated turnover), 2021 = 100",19.1
2021-02-01,"Volume index (deflated turnover), 2021 = 100",22.7
2021-03-01,"Volume index (deflated turnover), 2021 = 100",18.7
2021-04-01,"Volume index (deflated turnover), 2021 = 100",27.8
2021-05-01,"Volume index (deflated turnover), 2021 = 100",5.0
2021-06-01,"Volume index (deflated turnover), 2021 = 100",25.8
2021-07-01,"Volume index (deflated turnover), 2021 = 100",11.8
2021-08-01,"Volume index (deflated turnover), 2021 = 100",3.6
2021-09-01,"Volume index (deflated turnover), 2021 = 100",29.1
2021-10-01,"Volume index (deflated turnover), 2021 = 100",12.5
2021-11-01,"Volume index (deflated turnover), 2021 = 100",17.7
2021-12-01,"Volume index (deflated turnover), 2021 = 100",6.9
2022-01-01,"Volume index (deflated turnover), 2021 = 100",20.3
2022-02-01,"Volume index (deflated turnover), 2021 = 100",23.1
2022-03-01,"Volume index (deflated turnover), 2021 = 100",8.5
2022-04-01,"Volume index (deflated turnover), 2021 = 100",12.8
2022-05-01,"Volume index (deflated turnover), 2021 = 100",12.0
2022-06-01,"Volume index (deflated turnover), 2021 = 100",9.6
2022-07-01,"Volume index (deflated turnover), 2021 = 100",5.1
2022-08-01,"Volume index (deflated turnover), 2021 = 100",7.5
2022-09-01,"Volume index (deflated turnover), 2021 = 100",3.9
2022-10-01,"Volume index (deflated turnover), 2021 = 100",2.1
2022-11-01,"Volume index (deflated turnover), 2021 = 100",4.6
2022-12-01,"Volume index (deflated turnover), 2021 = 100",-8.0
2023-01-01,"Volume index (deflated turnover), 2021 = 100",-9.2
2023-02-01,"Volume index (deflated turnover), 2021 = 100",-49.4
2023-03-01,"Volume index (deflated turnover), 2021 = 100",-24.0
2023-04-01,"Volume index (deflated turnover), 2021 = 100",-18.9
2023-05-01,"Volume index (deflated turnover), 2021 = 100",-14.8
2023-06-01,"Volume index (deflated turnover), 2021 = 100",3.0
2023-07-01,"Volume index (deflated turnover), 2021 = 100",4.1
2023-08-01,"Volume index (deflated turnover), 2021 = 100",97.8
2023-09-01,"Volume index (deflated turnover), 2021 = 100",26.0
2023-10-01,"Volume index (deflated turnover), 2021 = 100",13.7
2023-11-01,"Volume index (deflated turnover), 2021 = 100",-3.5
2023-12-01,"Volume index (deflated turnover), 2021 = 100",3.4
2024-01-01,"Volume index (deflated turnover), 2021 = 100",-2.8
2024-02-01,"Volume index (deflated turnover), 2021 = 100",-8.8
2024-03-01,"Volume index (deflated turnover), 2021 = 100",-3.2
2024-04-01,"Volume index (deflated turnover), 2021 = 100",12.7
2024-05-01,"Volume index (deflated turnover), 2021 = 100",20.2
2024-06-01,"Volume index (deflated turnover), 2021 = 100",2.4
2024-07-01,"Volume index (deflated turnover), 2021 = 100",23.0
2024-08-01,"Volume index (deflated turnover), 2021 = 100",3.8
2024-09-01,"Volume index (deflated turnover), 2021 = 100",23.6
2024-10-01,"Volume index (deflated turnover), 2021 = 100",8.9
2024-11-01,"Volume index (deflated turnover), 2021 = 100",4.8
2024-12-01,"Volume index (deflated turnover), 2021 = 100",24.7
2025-01-01,"Volume index (deflated turnover), 2021 = 100",-5.7
2025-02-01,"Volume index (deflated turnover), 2021 = 100",4.7
2025-03-01,"Volume index (deflated turnover), 2021 = 100",-17.8
2025-04-01,"Volume index (deflated turnover), 2021 = 100",-11.2
2025-05-01,"Volume index (deflated turnover), 2021 = 100",15.9
2025-06-01,"Volume index (deflated turnover), 2021 = 100",30.0
2025-07-01,"Volume index (deflated turnover), 2021 = 100",-14.1
2025-08-01,"Volume index (deflated turnover), 2021 = 100",-7.5
2025-09-01,"Volume index (deflated turnover), 2021 = 100",9.5
2025-10-01,"Volume index (deflated turnover), 2021 = 100",-11.3
2025-11-01,"Volume index (deflated turnover), 2021 = 100",-21.9
