Year,Agricultural raw materials and live animals,Alcoholic beverages,Alcoholic beverages and tobacco products,Automotive fuel,"Clothing, woven materials, footwear",Commodities total,Food,"Food, alcoholic beverages and tobacco products",Manufactured goods,"Motor vehicles, their parts and accessories",Other goods,Tobacco products
2005,19750.7,0.0,328151.4,335167.2,280733.5,3049968.4,923582.9,1251734.2,1798234.1,0.0,1162582.7,0.0
2006,25502.1,0.0,322896.9,363517.4,399994.1,3504593.1,958322.8,1281219.8,2223373.3,0.0,1434359.8,0.0
2007,31558.3,298874.7,400614.0,518555.8,441916.0,4161051.3,1102382.9,1502997.0,2658054.3,0.0,1666024.2,101739.3
2008,43305.5,315231.4,441808.4,606696.6,437364.5,4391734.8,1245606.0,1687414.5,2704320.4,0.0,1616953.8,126577.1
2009,33709.8,316743.4,451842.8,508187.8,344009.9,3729979.7,1161329.3,1613172.1,2116807.6,0.0,1230900.1,135099.4
2010,39821.6,321151.0,440717.1,529669.4,361958.6,3809087.0,1173787.7,1614504.7,2194582.3,0.0,1263132.7,119566.0
2011,44925.0,352623.7,496653.6,616145.1,389887.5,4190386.7,1289798.2,1786451.8,2403934.9,0.0,1352977.4,144029.9
2012,60762.1,376666.7,533097.6,736495.5,443013.5,4684430.2,1426363.5,1959461.2,2724969.1,0.0,1484698.0,156430.9
2013,54325.4,415950.4,583861.7,765455.0,481996.8,4985616.4,1452360.4,2036222.2,2949394.2,0.0,1647617.0,167911.3
2014,56445.1,409037.5,587948.9,764161.9,508957.0,5243671.8,1570289.8,2158238.7,3085432.9,0.0,1755868.9,178911.4
2015,61386.8,426050.8,616938.9,694895.4,531200.1,5527141.5,1592422.8,2209361.6,3317779.9,0.0,2030297.5,190888.1
2016,72500.8,423276.9,610554.2,731562.7,576562.5,5785602.8,1660740.4,2271294.6,3514308.2,0.0,2133682.3,187277.3
2017,70730.7,418481.3,613048.9,841316.0,578022.5,6178680.9,1779863.0,2392912.0,3785768.9,0.0,2295699.8,194567.7
2018,32063.7,419480.6,636919.6,968597.7,607958.4,6570751.4,1843902.0,2480821.6,4089929.7,0.0,2481309.9,217439.1
2019,76590.3,395800.1,610135.9,955055.0,512538.5,6905604.8,1964257.8,2574393.7,4331211.1,0.0,2787027.3,214335.8
2020,88067.7,412116.0,653907.1,837855.6,480012.3,7198706.2,2017167.0,2671074.1,4527632.1,0.0,3121696.5,241791.2
2021,89927.8,443438.7,707542.5,1011100.1,549170.0,8137970.4,2124955.0,2832497.5,5305472.9,0.0,3655275.0,264103.7
2022,112322.9,474534.3,760666.9,1352704.3,641999.6,9558621.9,2470169.0,3230835.9,6327786.0,0.0,4220759.1,286132.6
2023,118520.2,503590.6,797799.3,899013.8,670383.8,9627964.3,2752626.0,3550425.3,6077539.1,0.0,4389621.3,294208.7
