year,tax_type,revenue_millions
1995,Transport taxes,5.37
1996,Transport taxes,7.87
1997,Transport taxes,7.55
1998,Transport taxes,7.59
1999,Transport taxes,9.15
2000,Transport taxes,11.88
2001,Transport taxes,13.4
2002,Transport taxes,14.15
2003,Transport taxes,3.64
2004,Transport taxes,7.1
2005,Transport taxes,7.91
2006,Transport taxes,9.31
2007,Transport taxes,9.49
2008,Transport taxes,7.47
2009,Transport taxes,6.42
2010,Transport taxes,7.45
2011,Transport taxes,9.84
2012,Transport taxes,10.79
2013,Transport taxes,10.94
2014,Transport taxes,11.31
2015,Transport taxes,12.16
2016,Transport taxes,12.53
2017,Transport taxes,13.05
2018,Transport taxes,13.23
2019,Transport taxes,13.37
2020,Transport taxes,11.1
2021,Transport taxes,12.67
2022,Transport taxes,12.73
2023,Transport taxes,12.22
1995,..motor vehicle excise duty,5.06
1996,..motor vehicle excise duty,6.62
1997,..motor vehicle excise duty,6.45
1998,..motor vehicle excise duty,5.93
1999,..motor vehicle excise duty,6.91
2000,..motor vehicle excise duty,9.01
2001,..motor vehicle excise duty,10.22
2002,..motor vehicle excise duty,10.67
2003,..motor vehicle excise duty,0.42
2004,..motor vehicle excise duty,0.01
2005,..motor vehicle excise duty,0.01
2006,..motor vehicle excise duty,0.02
2007,..motor vehicle excise duty,0.01
2008,..motor vehicle excise duty,0.0
2009,..motor vehicle excise duty,0.0
2010,..motor vehicle excise duty,0.0
2011,..motor vehicle excise duty,0.0
2012,..motor vehicle excise duty,0.0
2013,..motor vehicle excise duty,0.0
2014,..motor vehicle excise duty,0.0
2015,..motor vehicle excise duty,0.0
2016,..motor vehicle excise duty,0.0
2017,..motor vehicle excise duty,0.0
2018,..motor vehicle excise duty,0.0
2019,..motor vehicle excise duty,0.0
2020,..motor vehicle excise duty,0.0
2021,..motor vehicle excise duty,0.0
2022,..motor vehicle excise duty,0.0
2023,..motor vehicle excise duty,0.0
1995,..car registration fee,0.31
1996,..car registration fee,0.25
1997,..car registration fee,0.26
1998,..car registration fee,0.72
1999,..car registration fee,1.07
2000,..car registration fee,1.7
2001,..car registration fee,1.99
2002,..car registration fee,2.21
2003,..car registration fee,3.06
2004,..car registration fee,3.41
2005,..car registration fee,4.35
2006,..car registration fee,5.38
2007,..car registration fee,5.28
2008,..car registration fee,3.44
2009,..car registration fee,2.88
2010,..car registration fee,3.95
2011,..car registration fee,6.16
2012,..car registration fee,6.89
2013,..car registration fee,6.92
2014,..car registration fee,7.02
2015,..car registration fee,7.09
2016,..car registration fee,7.36
2017,..car registration fee,7.72
2018,..car registration fee,7.92
2019,..car registration fee,8.15
2020,..car registration fee,6.07
2021,..car registration fee,7.58
2022,..car registration fee,7.63
2023,..car registration fee,7.26
2003,..heavy goods vehicle tax,0.0
2004,..heavy goods vehicle tax,3.67
2005,..heavy goods vehicle tax,3.55
2006,..heavy goods vehicle tax,3.91
2007,..heavy goods vehicle tax,4.2
2008,..heavy goods vehicle tax,4.03
2009,..heavy goods vehicle tax,3.54
2010,..heavy goods vehicle tax,3.5
2011,..heavy goods vehicle tax,3.68
2012,..heavy goods vehicle tax,3.9
2013,..heavy goods vehicle tax,4.02
2014,..heavy goods vehicle tax,4.29
2015,..heavy goods vehicle tax,5.07
2016,..heavy goods vehicle tax,5.17
2017,..heavy goods vehicle tax,5.33
2018,..heavy goods vehicle tax,5.32
2019,..heavy goods vehicle tax,5.22
2020,..heavy goods vehicle tax,5.03
2021,..heavy goods vehicle tax,5.09
2022,..heavy goods vehicle tax,5.1
2023,..heavy goods vehicle tax,4.95
1995,..tax on motor vehicles,0.0
1996,..tax on motor vehicles,1.0
1997,..tax on motor vehicles,0.84
1998,..tax on motor vehicles,0.94
1999,..tax on motor vehicles,1.17
2000,..tax on motor vehicles,1.17
2001,..tax on motor vehicles,1.19
2002,..tax on motor vehicles,1.27
2003,..tax on motor vehicles,0.16
2004,..tax on motor vehicles,0.01
2005,..tax on motor vehicles,0.0
2006,..tax on motor vehicles,0.0
2007,..tax on motor vehicles,0.0
2008,..tax on motor vehicles,0.0
2009,..tax on motor vehicles,0.0
2010,..tax on motor vehicles,0.0
2011,..tax on motor vehicles,0.0
2012,..tax on motor vehicles,0.0
2013,..tax on motor vehicles,0.0
2014,..tax on motor vehicles,0.0
2015,..tax on motor vehicles,0.0
2016,..tax on motor vehicles,0.0
2017,..tax on motor vehicles,0.0
2018,..tax on motor vehicles,0.0
2019,..tax on motor vehicles,0.0
2020,..tax on motor vehicles,0.0
2021,..tax on motor vehicles,0.0
2022,..tax on motor vehicles,0.0
2023,..tax on motor vehicles,0.0
