date,commodity_group,index,inflation_yoy,inflation_mom
2020-01-01,Alcohol and tobacco,321.51,,
2020-02-01,Alcohol and tobacco,324.99,,1.0823924605766644
2020-03-01,Alcohol and tobacco,326.33,,0.4123203790885821
2020-04-01,Alcohol and tobacco,326.89,,0.17160543008611917
2020-05-01,Alcohol and tobacco,326.42,,-0.14377925295969707
2020-06-01,Alcohol and tobacco,324.39,,-0.62189816800442
2020-07-01,Alcohol and tobacco,327.39,,0.9248127254231076
2020-08-01,Alcohol and tobacco,325.69,,-0.5192583768593995
2020-09-01,Alcohol and tobacco,328.11,,0.7430378580859154
2020-10-01,Alcohol and tobacco,325.28,,-0.8625156197616723
2020-11-01,Alcohol and tobacco,325.16,,-0.03689129365468391
2020-12-01,Alcohol and tobacco,324.16,,-0.3075409029400955
2021-01-01,Alcohol and tobacco,326.73,1.6235886908649855,0.7928183613030493
2021-02-01,Alcohol and tobacco,329.36,1.3446567586695046,0.8049459798610492
2021-03-01,Alcohol and tobacco,331.1,1.4617105384120421,0.5282973038620353
2021-04-01,Alcohol and tobacco,330.45,1.0890513628437626,-0.19631531259439727
2021-05-01,Alcohol and tobacco,329.97,1.087555909564375,-0.14525646845210405
2021-06-01,Alcohol and tobacco,328.52,1.2731588519991455,-0.4394338879292192
2021-07-01,Alcohol and tobacco,330.23,0.867466935459249,0.5205162547181397
2021-08-01,Alcohol and tobacco,332.2,1.9988332463385383,0.5965539169669576
2021-09-01,Alcohol and tobacco,332.75,1.4141598854042758,0.16556291390728006
2021-10-01,Alcohol and tobacco,336.76,3.5292670929660597,1.205108940646138
2021-11-01,Alcohol and tobacco,336.85,3.595153155369668,0.02672526428317834
2021-12-01,Alcohol and tobacco,334.29,3.125,-0.759982187917474
2022-01-01,Alcohol and tobacco,337.91,3.4217855721849766,1.0828920996739377
2022-02-01,Alcohol and tobacco,341.44,3.6677192130191827,1.044656861294424
2022-03-01,Alcohol and tobacco,342.47,3.4340078526124973,0.30166354264293815
2022-04-01,Alcohol and tobacco,343.23,3.867453472537452,0.22191724822611114
2022-05-01,Alcohol and tobacco,348.28,5.5489893020577385,1.4713166098534458
2022-06-01,Alcohol and tobacco,348.52,6.087909411907955,0.06891007235558799
2022-07-01,Alcohol and tobacco,351.0,6.289555764164367,0.7115803971077694
2022-08-01,Alcohol and tobacco,352.35,6.065623118603258,0.38461538461538325
2022-09-01,Alcohol and tobacco,356.06,7.005259203606307,1.0529303249609656
2022-10-01,Alcohol and tobacco,359.11,6.636773963653653,0.8565972027186453
2022-11-01,Alcohol and tobacco,360.28,6.9556182276977685,0.3258054635070007
2022-12-01,Alcohol and tobacco,358.16,7.140506745640018,-0.5884312201620778
2023-01-01,Alcohol and tobacco,365.35,8.120505460033733,2.0074826893008657
2023-02-01,Alcohol and tobacco,368.19,7.834465791940026,0.7773368003284542
2023-03-01,Alcohol and tobacco,373.78,9.14240663415773,1.5182378663190166
2023-04-01,Alcohol and tobacco,374.8,9.197913935262058,0.2728877949596198
2023-05-01,Alcohol and tobacco,374.91,7.646146778454144,0.029348986125943277
2023-06-01,Alcohol and tobacco,375.91,7.8589464019281685,0.2667306820303583
2023-07-01,Alcohol and tobacco,378.69,7.888888888888879,0.7395387193743108
2023-08-01,Alcohol and tobacco,378.22,7.342131403434093,-0.12411207055902373
2023-09-01,Alcohol and tobacco,376.86,5.841712070999283,-0.35957908095817226
2023-10-01,Alcohol and tobacco,377.14,5.0207457325053495,0.07429814785331335
2023-11-01,Alcohol and tobacco,376.61,4.532585766625963,-0.1405313676618669
2023-12-01,Alcohol and tobacco,371.4,3.6966718784900543,-1.3833939619234847
2024-01-01,Alcohol and tobacco,390.61,6.913918160667842,5.17232094776523
2024-02-01,Alcohol and tobacco,401.33,9.000787636817954,2.7444253859348233
2024-03-01,Alcohol and tobacco,404.33,8.173256996093968,0.7475145142401551
